season,round,race,driver_id,driver,constructor,grid,points,finish_position,won,previous_points,previous_grid,previous_finish,average_finish,average_grid,recent_points,podium,driver_recent_podiums,driver_recent_wins,dnf,driver_recent_dnfs,constructor_previous_points,constructor_recent_points,constructor_average_finish
2022,1,Bahrain Grand Prix,albon,ALB,williams,14,0.0,13,0,0.0,10.0,10.0,10.0,10.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,10.0
2022,2,Saudi Arabian Grand Prix,albon,ALB,williams,16,0.0,14,0,0.0,14.0,13.0,13.0,14.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,13.0
2022,3,Australian Grand Prix,albon,ALB,williams,20,1.0,10,0,0.0,16.0,14.0,13.5,15.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,13.5
2022,4,Emilia Romagna Grand Prix,albon,ALB,williams,18,0.0,11,0,1.0,20.0,10.0,12.333333333333334,16.666666666666668,1.0,0,0.0,0.0,0,0.0,1.0,1.0,12.333333333333334
2022,5,Miami Grand Prix,albon,ALB,williams,18,2.0,9,0,0.0,18.0,11.0,12.0,17.0,1.0,0,0.0,0.0,0,0.0,0.0,1.0,12.0
2023,1,Bahrain Grand Prix,albon,ALB,williams,15,1.0,10,0,2.0,18.0,9.0,11.4,17.2,3.0,0,0.0,0.0,0,0.0,2.0,3.0,11.4
2023,2,Saudi Arabian Grand Prix,albon,ALB,williams,17,0.0,19,0,1.0,15.0,10.0,10.8,17.4,4.0,0,0.0,0.0,0,0.0,1.0,4.0,10.8
2023,3,Australian Grand Prix,albon,ALB,williams,8,0.0,19,0,0.0,17.0,19.0,11.8,17.6,4.0,0,0.0,0.0,0,0.0,0.0,4.0,11.8
2023,4,Azerbaijan Grand Prix,albon,ALB,williams,12,0.0,12,0,0.0,8.0,19.0,13.6,15.2,3.0,0,0.0,0.0,0,0.0,0.0,3.0,13.6
2023,5,Miami Grand Prix,albon,ALB,williams,11,0.0,14,0,0.0,12.0,12.0,13.8,14.0,3.0,0,0.0,0.0,0,0.0,0.0,3.0,13.8
2024,1,Bahrain Grand Prix,albon,ALB,williams,13,0.0,15,0,0.0,11.0,14.0,14.8,12.6,1.0,0,0.0,0.0,0,0.0,0.0,1.0,14.8
2024,2,Saudi Arabian Grand Prix,albon,ALB,williams,12,0.0,11,0,0.0,13.0,15.0,15.8,12.2,0.0,0,0.0,0.0,0,0.0,0.0,0.0,15.8
2024,3,Australian Grand Prix,albon,ALB,williams,12,0.0,11,0,0.0,12.0,11.0,14.2,11.2,0.0,0,0.0,0.0,0,0.0,0.0,0.0,14.2
2024,4,Japanese Grand Prix,albon,ALB,williams,14,0.0,20,0,0.0,12.0,11.0,12.6,12.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,12.6
2024,5,Chinese Grand Prix,albon,ALB,williams,14,0.0,12,0,0.0,14.0,20.0,14.2,12.4,0.0,0,0.0,0.0,0,0.0,0.0,0.0,14.2
2025,1,Australian Grand Prix,albon,ALB,williams,6,10.0,5,0,0.0,14.0,12.0,13.8,13.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,13.8
2025,2,Chinese Grand Prix,albon,ALB,williams,10,6.0,7,0,10.0,6.0,5.0,11.8,11.6,10.0,0,0.0,0.0,0,0.0,10.0,10.0,11.8
2025,3,Japanese Grand Prix,albon,ALB,williams,9,2.0,9,0,6.0,10.0,7.0,11.0,11.2,16.0,0,0.0,0.0,0,0.0,6.0,16.0,11.0
2025,4,Bahrain Grand Prix,albon,ALB,williams,15,0.0,12,0,2.0,9.0,9.0,10.6,10.6,18.0,0,0.0,0.0,0,0.0,2.0,18.0,10.6
2025,5,Saudi Arabian Grand Prix,albon,ALB,williams,11,2.0,9,0,0.0,15.0,12.0,9.0,10.8,18.0,0,0.0,0.0,0,0.0,0.0,18.0,9.0
2021,1,Bahrain Grand Prix,alonso,ALO,alpine,9,0.0,19,0,0.0,10.0,10.0,10.0,10.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,10.0
2021,2,Emilia Romagna Grand Prix,alonso,ALO,alpine,15,1.0,10,0,0.0,9.0,19.0,19.0,9.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,19.0
2021,3,Portuguese Grand Prix,alonso,ALO,alpine,13,4.0,8,0,1.0,15.0,10.0,14.5,12.0,1.0,0,0.0,0.0,0,0.0,1.0,1.0,14.5
2021,4,Spanish Grand Prix,alonso,ALO,alpine,10,0.0,17,0,4.0,13.0,8.0,12.333333333333334,12.333333333333334,5.0,0,0.0,0.0,0,0.0,4.0,5.0,12.333333333333334
2021,5,Monaco Grand Prix,alonso,ALO,alpine,17,0.0,13,0,0.0,10.0,17.0,13.5,11.75,5.0,0,0.0,0.0,0,0.0,0.0,5.0,13.5
2022,1,Bahrain Grand Prix,alonso,ALO,alpine,8,2.0,9,0,0.0,17.0,13.0,13.4,12.8,5.0,0,0.0,0.0,0,0.0,0.0,5.0,13.4
2022,2,Saudi Arabian Grand Prix,alonso,ALO,alpine,7,0.0,16,0,2.0,8.0,9.0,11.4,12.6,7.0,0,0.0,0.0,0,0.0,2.0,7.0,11.4
2022,3,Australian Grand Prix,alonso,ALO,alpine,10,0.0,17,0,0.0,7.0,16.0,12.6,11.0,6.0,0,0.0,0.0,0,0.0,0.0,6.0,12.6
2022,4,Emilia Romagna Grand Prix,alonso,ALO,alpine,9,0.0,19,0,0.0,10.0,17.0,14.4,10.4,2.0,0,0.0,0.0,0,0.0,0.0,2.0,14.4
2022,5,Miami Grand Prix,alonso,ALO,alpine,11,0.0,11,0,0.0,9.0,19.0,14.8,10.2,2.0,0,0.0,0.0,0,0.0,0.0,2.0,14.8
2023,1,Bahrain Grand Prix,alonso,ALO,aston_martin,5,15.0,3,0,0.0,11.0,11.0,14.4,9.0,2.0,1,0.0,0.0,0,0.0,0.0,0.0,10.0
2023,2,Saudi Arabian Grand Prix,alonso,ALO,aston_martin,2,15.0,3,0,15.0,5.0,3.0,13.2,8.4,15.0,1,1.0,0.0,0,0.0,15.0,15.0,3.0
2023,3,Australian Grand Prix,alonso,ALO,aston_martin,4,15.0,3,0,15.0,2.0,3.0,10.6,7.4,30.0,1,2.0,0.0,0,0.0,15.0,30.0,3.0
2023,4,Azerbaijan Grand Prix,alonso,ALO,aston_martin,6,12.0,4,0,15.0,4.0,3.0,7.8,6.2,45.0,0,3.0,0.0,0,0.0,15.0,45.0,3.0
2023,5,Miami Grand Prix,alonso,ALO,aston_martin,2,15.0,3,0,12.0,6.0,4.0,4.8,5.6,57.0,1,3.0,0.0,0,0.0,12.0,57.0,3.25
2024,1,Bahrain Grand Prix,alonso,ALO,aston_martin,6,2.0,9,0,15.0,2.0,3.0,3.2,3.8,72.0,0,4.0,0.0,0,0.0,15.0,72.0,3.2
2024,2,Saudi Arabian Grand Prix,alonso,ALO,aston_martin,4,10.0,5,0,2.0,6.0,9.0,4.4,4.0,59.0,0,3.0,0.0,0,0.0,2.0,59.0,4.4
2024,3,Australian Grand Prix,alonso,ALO,aston_martin,10,4.0,8,0,10.0,4.0,5.0,4.8,4.4,54.0,0,2.0,0.0,0,0.0,10.0,54.0,4.8
2024,4,Japanese Grand Prix,alonso,ALO,aston_martin,5,8.0,6,0,4.0,10.0,8.0,5.8,5.6,43.0,0,1.0,0.0,0,0.0,4.0,43.0,5.8
2024,5,Chinese Grand Prix,alonso,ALO,aston_martin,3,7.0,7,0,8.0,5.0,6.0,6.2,5.4,39.0,0,1.0,0.0,0,0.0,8.0,39.0,6.2
2025,1,Australian Grand Prix,alonso,ALO,aston_martin,12,0.0,17,0,7.0,3.0,7.0,7.0,5.6,31.0,0,0.0,0.0,0,0.0,7.0,31.0,7.0
2025,2,Chinese Grand Prix,alonso,ALO,aston_martin,13,0.0,17,0,0.0,12.0,17.0,8.6,6.8,29.0,0,0.0,0.0,0,0.0,0.0,29.0,8.6
2025,3,Japanese Grand Prix,alonso,ALO,aston_martin,12,0.0,11,0,0.0,13.0,17.0,11.0,8.6,19.0,0,0.0,0.0,0,0.0,0.0,19.0,11.0
2025,4,Bahrain Grand Prix,alonso,ALO,aston_martin,13,0.0,15,0,0.0,12.0,11.0,11.6,9.0,15.0,0,0.0,0.0,0,0.0,0.0,15.0,11.6
2025,5,Saudi Arabian Grand Prix,alonso,ALO,aston_martin,13,0.0,11,0,0.0,13.0,15.0,13.4,10.6,7.0,0,0.0,0.0,0,0.0,0.0,7.0,13.4
2025,1,Australian Grand Prix,antonelli,ANT,mercedes,16,12.0,4,0,0.0,10.0,10.0,10.0,10.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,10.0
2025,2,Chinese Grand Prix,antonelli,ANT,mercedes,8,8.0,6,0,12.0,16.0,4.0,4.0,16.0,12.0,0,0.0,0.0,0,0.0,12.0,12.0,4.0
2025,3,Japanese Grand Prix,antonelli,ANT,mercedes,6,8.0,6,0,8.0,8.0,6.0,5.0,12.0,20.0,0,0.0,0.0,0,0.0,8.0,20.0,5.0
2025,4,Bahrain Grand Prix,antonelli,ANT,mercedes,5,0.0,11,0,8.0,6.0,6.0,5.333333333333333,10.0,28.0,0,0.0,0.0,0,0.0,8.0,28.0,5.333333333333333
2025,5,Saudi Arabian Grand Prix,antonelli,ANT,mercedes,5,8.0,6,0,0.0,5.0,11.0,6.75,8.75,28.0,0,0.0,0.0,0,0.0,0.0,28.0,6.75
2024,2,Saudi Arabian Grand Prix,bearman,BEA,ferrari,11,6.0,7,0,0.0,10.0,10.0,10.0,10.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,10.0
2025,1,Australian Grand Prix,bearman,BEA,haas,20,0.0,14,0,6.0,11.0,7.0,7.0,11.0,6.0,0,0.0,0.0,0,0.0,0.0,0.0,10.0
2025,2,Chinese Grand Prix,bearman,BEA,haas,17,4.0,8,0,0.0,20.0,14.0,10.5,15.5,6.0,0,0.0,0.0,0,0.0,0.0,0.0,14.0
2025,3,Japanese Grand Prix,bearman,BEA,haas,10,1.0,10,0,4.0,17.0,8.0,9.666666666666666,16.0,10.0,0,0.0,0.0,0,0.0,4.0,4.0,11.0
2025,4,Bahrain Grand Prix,bearman,BEA,haas,20,1.0,10,0,1.0,10.0,10.0,9.75,14.5,11.0,0,0.0,0.0,0,0.0,1.0,5.0,10.666666666666666
2025,5,Saudi Arabian Grand Prix,bearman,BEA,haas,15,0.0,13,0,1.0,20.0,10.0,9.8,15.6,12.0,0,0.0,0.0,0,0.0,1.0,6.0,10.5
2025,1,Australian Grand Prix,bortoleto,BOR,sauber,15,0.0,16,0,0.0,10.0,10.0,10.0,10.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,10.0
2025,2,Chinese Grand Prix,bortoleto,BOR,sauber,19,0.0,14,0,0.0,15.0,16.0,16.0,15.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,16.0
2025,3,Japanese Grand Prix,bortoleto,BOR,sauber,17,0.0,19,0,0.0,19.0,14.0,15.0,17.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,15.0
2025,4,Bahrain Grand Prix,bortoleto,BOR,sauber,18,0.0,18,0,0.0,17.0,19.0,16.333333333333332,17.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,16.333333333333332
2025,5,Saudi Arabian Grand Prix,bortoleto,BOR,sauber,20,0.0,18,0,0.0,18.0,18.0,16.75,17.25,0.0,0,0.0,0.0,0,0.0,0.0,0.0,16.75
2021,1,Bahrain Grand Prix,bottas,BOT,mercedes,3,16.0,3,0,0.0,10.0,10.0,10.0,10.0,0.0,1,0.0,0.0,0,0.0,8.0,36.0,6.6
2021,2,Emilia Romagna Grand Prix,bottas,BOT,mercedes,8,0.0,18,0,16.0,3.0,3.0,3.0,3.0,16.0,0,1.0,0.0,0,0.0,16.0,40.0,6.4
2021,3,Portuguese Grand Prix,bottas,BOT,mercedes,1,16.0,3,0,0.0,8.0,18.0,10.5,5.5,16.0,1,1.0,0.0,0,0.0,0.0,32.0,8.8
2021,4,Spanish Grand Prix,bottas,BOT,mercedes,3,15.0,3,0,16.0,1.0,3.0,8.0,4.0,32.0,1,2.0,0.0,0,0.0,16.0,40.0,8.2
2021,5,Monaco Grand Prix,bottas,BOT,mercedes,3,0.0,19,0,15.0,3.0,3.0,6.75,3.75,47.0,0,3.0,0.0,0,0.0,15.0,55.0,6.6
2022,1,Bahrain Grand Prix,bottas,BOT,alfa,6,8.0,6,0,0.0,3.0,19.0,9.2,3.6,47.0,0,3.0,0.0,0,0.0,0.0,0.0,10.0
2022,2,Saudi Arabian Grand Prix,bottas,BOT,alfa,8,0.0,15,0,8.0,6.0,6.0,9.8,4.2,39.0,0,2.0,0.0,0,0.0,8.0,8.0,6.0
2022,3,Australian Grand Prix,bottas,BOT,alfa,12,4.0,8,0,0.0,8.0,15.0,9.2,4.2,39.0,0,2.0,0.0,0,0.0,0.0,8.0,10.5
